,Smart Card,Recommended_Collaborative_Filtering
21,200000317892,"FASHION CONC, FURNISHING, GIFT CARD & VOUCHERS, INDIAN WEAR TOPS, KITCHEN, MEAT, OTHER RTD, SPORT, SYRUPS & CONCENTRATE"
22,200000318004,"CERAMIC WARE, FROZEN NON VEG, FURNISHING, GLUCOSE & ENERGY, KIDS BOYS BWEAR, KITCHEN, MEN'S BOTTOMWEAR, OTHER RTD, SERVE/TABLE WARE"
23,200000318651,"EGG, FROZEN, FROZEN NON VEG, FURNISHING, KID'S BOYS TOP WEAR, MEN'S INNERWEAR, OTC FOOD, SHOE CARE, SYRUPS & CONCENTRATE"
24,200000318721,"BATH, ELECTRICAL EQUIPMENT, FROZEN NON VEG, FURNISHING, GIFT CARD & VOUCHERS, GLASS WARE, KIDS BOYS BWEAR, KITCHEN, READY TO EAT"
25,200000318961,"BATH, EGG, FOOT WEAR CONC, FROZEN NON VEG, FURNISHING, GLUCOSE & ENERGY, KIDS BOYS BWEAR, KITCHEN, TOOLS AND CAR CARE"
26,200000318989,"BED, ELECTRICAL EQUIPMENT, FROZEN NON VEG, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, KITCHEN TOOLS METAL, READY TO EAT, SPORT"
27,200000319395,"FASHION CONC, FROZEN NON VEG, FROZEN VEG, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, KITCHEN APPLIANCES, MELAMINE WARE"
28,200000319401,"BATH, CERAMIC WARE, FROZEN NON VEG, FURNISHING, MELAMINE WARE, MEN'S INNERWEAR, MILK FOOD, PACKD DRINKING WATER, SYRUPS & CONCENTRATE"
29,200000319456,"COOKWARE METAL, FROZEN NON VEG, FROZEN VEG, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, KITCHEN APPLIANCES, MEN'S TOPWEAR"
30,200000320629,"BATHROOM AIDS, ELECTRICAL EQUIPMENT, GIFT CARD & VOUCHERS, MEN'S TOPWEAR, OTC FOOD, PACKD DRINKING WATER, PICKLE/CHUTNEY, SPORT, SYRUPS & CONCENTRATE"
31,200000351498,"ALLNCE & MISC INCOME, DESSERT, DISINFECTANT AND MUL, FOOT WEAR CONC, GIFT CARD & VOUCHERS, KID'S BOYS TOP WEAR, KITCHEN TOOLS METAL, PICKLE/CHUTNEY, TOOLS AND CAR CARE"
32,200000351744,"COOKWARE METAL, EGG, FASHION CONC, FROZEN NON VEG, GLASS WARE, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, READY TO EAT"
33,200000352673,"CERAMIC WARE, COOKWARE METAL, FROZEN, FROZEN NON VEG, GLASS WARE, KITCHEN, OTC FOOD, PACKD DRINKING WATER, SHOE CARE"
34,200000352789,"BATHROOM AIDS, COOKWARE METAL, FASHION CONC, FURNISHING, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, OTHER RTD, SYRUPS & CONCENTRATE"
35,200000353061,"CERAMIC WARE, FROZEN NON VEG, FROZEN VEG, GLUCOSE & ENERGY, INDIAN WEAR TOPS, KIDS BOYS BWEAR, LAB, MEN'S INNERWEAR, MILK FOOD"
36,200000353113,"FASHION CONC, FROZEN NON VEG, GLUCOSE & ENERGY, MELAMINE WARE, MEN'S TOPWEAR, PACKD DRINKING WATER, SERVE/TABLE WARE, TEA BAGS, TOOLS AND CAR CARE"
37,200000354112,"ALLNCE & MISC INCOME, DESSERT, DISINFECTANT AND MUL, FASHION CONC, FISH, FURNISHING, OTHER RTD, PICKLE/CHUTNEY, SHOE CARE"
38,200000354291,"COOKWARE METAL, EGG, FASHION CONC, GLASS WARE, KIDS BOYS BWEAR, KITCHEN, MELAMINE WARE, OTHER RTD, SPORT"
39,200000355494,"ALLNCE & MISC INCOME, CERAMIC WARE, FASHION CONC, KID'S BOYS TOP WEAR, MEN'S TOPWEAR, MILK FOOD, OTC, READY TO EAT, SYRUPS & CONCENTRATE"
40,200000355722,"BATHROOM AIDS, BED, FROZEN NON VEG, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, KITCHEN APPLIANCES, LAB, MELAMINE WARE"
41,200000355874,"COLOUR COSMETICS, FROZEN NON VEG, FURNISHING, KITCHEN APPLIANCES, MEN'S BOTTOMWEAR, OTHER RTD, PACKD DRINKING WATER, READY TO EAT, SERVE/TABLE WARE"
42,200000356031,"FISH, FROZEN NON VEG, FURNISHING, GLASS WARE, GLUCOSE & ENERGY, INDIAN WEAR TOPS, KITCHEN APPLIANCES, OTC FOOD, SYRUPS & CONCENTRATE"
43,200000356068,"BATHROOM AIDS, EGG, GIFT CARD & VOUCHERS, KITCHEN APPLIANCES, KITCHEN TOOLS METAL, MELAMINE WARE, MEN'S TOPWEAR, OTHER RTD, TOOLS AND CAR CARE"
44,200000356299,"BATH, BATHROOM AIDS, CERAMIC WARE, FURNISHING, MEN'S BOTTOMWEAR, MILK FOOD, PACKD DRINKING WATER, READY TO EAT, SHOE CARE"
45,200000356387,"CERAMIC WARE, FROZEN NON VEG, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, MEN'S INNERWEAR, SPORT, SYRUPS & CONCENTRATE"
46,200000356448,"CERAMIC WARE, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, MEN'S INNERWEAR, MEN'S TOPWEAR, OTHER RTD, SPORT, TEA BAGS"
47,200000357216,"ALLNCE & MISC INCOME, BATH, CERAMIC WARE, MEN'S INNERWEAR, READY TO EAT, SHOE CARE, SPORT, SYRUPS & CONCENTRATE, TOILET CLEANER"
48,200000357386,"ALLNCE & MISC INCOME, BATHROOM AIDS, COOKWARE METAL, DISINFECTANT AND MUL, GIFT CARD & VOUCHERS, LAB, MEN'S INNERWEAR, PACKD DRINKING WATER, READY TO EAT"
49,200000358215,"BED, COLOUR COSMETICS, FURNISHING, KIDS BOYS BWEAR, KITCHEN APPLIANCES, MELAMINE WARE, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, OTHER RTD"
50,200000358251,"ALLNCE & MISC INCOME, FROZEN NON VEG, GLASS WARE, GLUCOSE & ENERGY, KITCHEN, KITCHEN APPLIANCES, MELAMINE WARE, TEA BAGS, TOOLS AND CAR CARE"
51,200000358330,"BROWN SPIRITS, CERAMIC WARE, COLOUR COSMETICS, FURNISHING, INDIAN WEAR TOPS, PACKD DRINKING WATER, SERVE/TABLE WARE, SHOE CARE, TOOLS AND CAR CARE"
52,200000358792,"CERAMIC WARE, COOKWARE METAL, FASHION CONC, FROZEN VEG, GIFT CARD & VOUCHERS, GLUCOSE & ENERGY, MEAT, OTHER RTD, SYRUPS & CONCENTRATE"
53,200000360025,"ALLNCE & MISC INCOME, BATHROOM AIDS, CERAMIC WARE, ELECTRICAL EQUIPMENT, FROZEN, MEN'S INNERWEAR, READY TO EAT, SPORT, TOOLS AND CAR CARE"
54,200000361079,"FROZEN NON VEG, INDIAN WEAR TOPS, KIDS BOYS BWEAR, KITCHEN, LAB, MEN'S INNERWEAR, MILK FOOD, SERVE/TABLE WARE, SYRUPS & CONCENTRATE"
55,200000361167,"ALLNCE & MISC INCOME, BED, CERAMIC WARE, FASHION CONC, FROZEN NON VEG, GLUCOSE & ENERGY, KITCHEN, SHOE CARE, SYRUPS & CONCENTRATE"
56,200000361219,"BATHROOM AIDS, DESSERT, FASHION CONC, KITCHEN APPLIANCES, MILK FOOD, OTHER RTD, PACKD DRINKING WATER, READY TO EAT, SERVE/TABLE WARE"
57,200000361255,"BATH, EGG, MELAMINE WARE, MEN'S INNERWEAR, PACKD DRINKING WATER, READY TO EAT, SHOE CARE, SYRUPS & CONCENTRATE, TOOLS AND CAR CARE"
58,200000361510,"BATH, BED, COOKWARE METAL, EGG, FASHION CONC, GIFT CARD & VOUCHERS, KID'S BOYS TOP WEAR, MELAMINE WARE, SYRUPS & CONCENTRATE"
59,200000361565,"BATH, CERAMIC WARE, EGG, ELECTRICAL EQUIPMENT, FISH, GLUCOSE & ENERGY, MELAMINE WARE, PACKD DRINKING WATER, TOOLS AND CAR CARE"
60,200000361927,"BED, COLOUR COSMETICS, FROZEN NON VEG, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, LAB, MEN'S BOTTOMWEAR, SHOE CARE"
61,200000361972,"ALLNCE & MISC INCOME, CERAMIC WARE, COOKWARE METAL, FASHION CONC, MEAT, MEN'S INNERWEAR, MILK FOOD, SERVE/TABLE WARE, SYRUPS & CONCENTRATE"
62,200000362643,"BATHROOM AIDS, COOKWARE METAL, FASHION CONC, FROZEN, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, MEN'S INNERWEAR, PACKD DRINKING WATER"
63,200000362810,"BATH, COLOUR COSMETICS, COOKWARE METAL, FASHION CONC, FROZEN VEG, FURNISHING, GLASS WARE, KITCHEN, SHOE CARE"
64,200000362980,"ALLNCE & MISC INCOME, BED, GLUCOSE & ENERGY, KITCHEN, KITCHEN APPLIANCES, MELAMINE WARE, OTHER RTD, SERVE/TABLE WARE, TOOLS AND CAR CARE"
65,200000363262,"FASHION CONC, FURNISHING, GLASS WARE, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, SHOE CARE, SYRUPS & CONCENTRATE"
66,200000363271,"CERAMIC WARE, COLOUR COSMETICS, FURNISHING, GLUCOSE & ENERGY, MELAMINE WARE, MEN'S BOTTOMWEAR, OTHER RTD, SYRUPS & CONCENTRATE, TOOLS AND CAR CARE"
67,200000363518,"COOKWARE METAL, FASHION CONC, GLASS WARE, GLUCOSE & ENERGY, KIDS BOYS BWEAR, KITCHEN, MELAMINE WARE, SERVE/TABLE WARE, SPORT"
68,200000363563,"BATHROOM AIDS, FASHION CONC, GLUCOSE & ENERGY, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, MELAMINE WARE, SYRUPS & CONCENTRATE"
69,200000363697,"EGG, FASHION CONC, FROZEN, FROZEN NON VEG, FURNISHING, INDIAN WEAR TOPS, KIDS BOYS BWEAR, KITCHEN, PACKD DRINKING WATER"
70,200000364012,"DISINFECTANT AND MUL, FASHION CONC, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, MEN'S TOPWEAR, MILK FOOD, PICKLE/CHUTNEY, TEA BAGS"
71,200000364881,"BROWN SPIRITS, FROZEN NON VEG, GIFT CARD & VOUCHERS, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, PACKD DRINKING WATER, PICKLE/CHUTNEY, READY TO EAT, SERVE/TABLE WARE"
72,200000365011,"ALLNCE & MISC INCOME, BATH, FROZEN NON VEG, INDIAN WEAR TOPS, KITCHEN, LAB, PACKD DRINKING WATER, READY TO EAT, SHOE CARE"
73,200000365446,"BATH, BROWN SPIRITS, COLOUR COSMETICS, EGG, FURNISHING, MEN'S BOTTOMWEAR, PACKD DRINKING WATER, READY TO EAT, SHOE CARE"
74,200000365640,"BATH, EGG, FROZEN, FROZEN NON VEG, FROZEN VEG, MEN'S INNERWEAR, MEN'S TOPWEAR, PACKD DRINKING WATER, READY TO EAT"
75,200000365701,"BATH, FASHION CONC, FURNISHING, MELAMINE WARE, MEN'S BOTTOMWEAR, PACKD DRINKING WATER, READY TO EAT, SERVE/TABLE WARE, TOOLS AND CAR CARE"
76,200000365817,"FASHION CONC, FROZEN NON VEG, FURNISHING, GLUCOSE & ENERGY, KITCHEN APPLIANCES, MELAMINE WARE, PACKD DRINKING WATER, SERVE/TABLE WARE, SYRUPS & CONCENTRATE"
77,200000365969,"CERAMIC WARE, FROZEN, FURNISHING, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, LAB, PACKD DRINKING WATER, READY TO EAT, SHOE CARE"
78,200000368300,"BATH, CERAMIC WARE, FROZEN, FROZEN NON VEG, FURNISHING, KITCHEN, MEN'S BOTTOMWEAR, PACKD DRINKING WATER, SHOE CARE"
79,200000368337,"BATHROOM AIDS, FASHION CONC, FROZEN NON VEG, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, MEN'S INNERWEAR, READY TO EAT"
80,200000368391,"BATH, COLOUR COSMETICS, FURNISHING, INDIAN WEAR TOPS, MEN'S BOTTOMWEAR, PACKD DRINKING WATER, PICKLE/CHUTNEY, READY TO EAT, SHOE CARE"
81,200000368407,"COLOUR COSMETICS, FURNISHING, GLUCOSE & ENERGY, KIDS BOYS BWEAR, LAB, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, POULTRY, SERVE/TABLE WARE"
82,200000368586,"FROZEN NON VEG, FURNISHING, KIDS BOYS BWEAR, KITCHEN APPLIANCES, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, PACKD DRINKING WATER, READY TO EAT, SERVE/TABLE WARE"
83,200000368735,"FASHION CONC, FURNISHING, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, MEN'S BOTTOMWEAR, SHOE CARE, SYRUPS & CONCENTRATE"
84,200000368799,"ALLNCE & MISC INCOME, BATHROOM AIDS, DISINFECTANT AND MUL, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, LAB, OTC FOOD, POULTRY, TEA BAGS"
85,200000369390,"BED, FROZEN NON VEG, GIFT CARD & VOUCHERS, KID'S BOYS TOP WEAR, LAB, PACKD DRINKING WATER, PICKLE/CHUTNEY, READY TO EAT, TEA BAGS"
86,200000369521,"FASHION CONC, FROZEN NON VEG, GLUCOSE & ENERGY, KIDS BOYS BWEAR, KITCHEN, MELAMINE WARE, SERVE/TABLE WARE, SYRUPS & CONCENTRATE, TOOLS AND CAR CARE"
87,200000369628,"BATHROOM AIDS, FROZEN NON VEG, INDIAN WEAR TOPS, KITCHEN, KITCHEN APPLIANCES, LAB, MELAMINE WARE, OTHER RTD, SERVE/TABLE WARE"
88,200000369868,"BED, FOOT WEAR CONC, FROZEN NON VEG, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KITCHEN APPLIANCES, MELAMINE WARE, READY TO EAT, SYRUPS & CONCENTRATE"
89,200000370217,"BATHROOM AIDS, DESSERT, FROZEN, GLASS WARE, GLUCOSE & ENERGY, KITCHEN, MELAMINE WARE, OTHER RTD, TOOLS AND CAR CARE"
90,200000370703,"CERAMIC WARE, ELECTRICAL EQUIPMENT, FASHION CONC, FROZEN NON VEG, INDIAN WEAR TOPS, KITCHEN, MELAMINE WARE, OTC FOOD, SERVE/TABLE WARE"
91,200000370800,"EGG, GLUCOSE & ENERGY, KITCHEN, LAB, MEAT, MEN'S INNERWEAR, OTHER RTD, SHOE CARE, SPORT"
92,200000372905,"BATH, CARBONATED, CERAMIC WARE, FURNISHING, GLASS WARE, LAB, PACKD DRINKING WATER, PICKLE/CHUTNEY, READY TO EAT"
93,200000373250,"CERAMIC WARE, FASHION CONC, FROZEN NON VEG, FURNISHING, KIDS BOYS BWEAR, MILK FOOD, PACKD DRINKING WATER, READY TO EAT, SERVE/TABLE WARE"
94,200000373287,"FASHION CONC, FROZEN NON VEG, FROZEN VEG, KITCHEN, MEN'S BOTTOMWEAR, OTC FOOD, PACKD DRINKING WATER, PICKLE/CHUTNEY, SHOE CARE"
95,200000373311,"COOKWARE METAL, GLASS WARE, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, MELAMINE WARE, PICKLE/CHUTNEY, SPORT, TEA BAGS, TOOLS AND CAR CARE"
96,200000373463,"FROZEN, FROZEN NON VEG, FROZEN VEG, FURNISHING, GLASS WARE, MEN'S TOPWEAR, PACKD DRINKING WATER, PICKLE/CHUTNEY, SERVE/TABLE WARE"
97,200000373755,"BATHROOM AIDS, COOKWARE METAL, DISINFECTANT AND MUL, ELECTRICAL EQUIPMENT, FASHION CONC, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, MEN'S INNERWEAR"
98,200000375197,"BATHROOM AIDS, COOKWARE METAL, DESSERT, ELECTRICAL EQUIPMENT, FROZEN, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, OTC FOOD"
99,200000377751,"FASHION CONC, INDIAN WEAR TOPS, KIDS BOYS BWEAR, KITCHEN, MELAMINE WARE, MEN'S BOTTOMWEAR, OTC FOOD, SERVE/TABLE WARE, SYRUPS & CONCENTRATE"
100,200000378705,"COLOUR COSMETICS, FROZEN NON VEG, GLUCOSE & ENERGY, KIDS BOYS BWEAR, MEN'S BOTTOMWEAR, MEN'S INNERWEAR, MEN'S TOPWEAR, OTHER RTD, SERVE/TABLE WARE"
101,200000378732,"BROWN SPIRITS, COLOUR COSMETICS, KIDS BOYS BWEAR, KITCHEN APPLIANCES, MELAMINE WARE, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, OTHER RTD, SERVE/TABLE WARE"
102,200000378778,"BATH, ELECTRICAL EQUIPMENT, FROZEN NON VEG, FURNISHING, KIDS BOYS BWEAR, KITCHEN, READY TO EAT, SHOE CARE, TOOLS AND CAR CARE"
103,200000379078,"BATHROOM AIDS, FASHION CONC, KIDS BOYS BWEAR, KITCHEN, KITCHEN APPLIANCES, MELAMINE WARE, MEN'S BOTTOMWEAR, OTHER RTD, SERVE/TABLE WARE"
104,200000379111,"BED, GLUCOSE & ENERGY, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, LAB, OTHER RTD, SYRUPS & CONCENTRATE"
105,200000379421,"BROWN SPIRITS, CERAMIC WARE, FROZEN NON VEG, FURNISHING, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, LAB, MEN'S BOTTOMWEAR, MEN'S TOPWEAR"
106,200000379476,"ALLNCE & MISC INCOME, FASHION CONC, GIFT CARD & VOUCHERS, MEN'S TOPWEAR, OTC, OTC FOOD, PICKLE/CHUTNEY, READY TO EAT, SYRUPS & CONCENTRATE"
107,200000379786,"BATH, CERAMIC WARE, FASHION CONC, FURNISHING, INDIAN WEAR TOPS, MEN'S INNERWEAR, PACKD DRINKING WATER, SERVE/TABLE WARE, SYRUPS & CONCENTRATE"
108,200000379829,"BED, CERAMIC WARE, FASHION CONC, GIFT CARD & VOUCHERS, MEN'S TOPWEAR, MILK FOOD, PACKD DRINKING WATER, PICKLE/CHUTNEY, SERVE/TABLE WARE"
109,200000379971,"ALLNCE & MISC INCOME, CERAMIC WARE, COOKWARE METAL, FASHION CONC, FROZEN, FURNISHING, KITCHEN, PACKD DRINKING WATER, SHOE CARE"
110,200000379999,"BATHROOM AIDS, BED, EGG, ELECTRICAL EQUIPMENT, INDIAN WEAR TOPS, KITCHEN TOOLS METAL, MELAMINE WARE, MEN'S INNERWEAR, MEN'S TOPWEAR"
111,200000380931,"CERAMIC WARE, FROZEN NON VEG, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, MEN'S TOPWEAR, PACKD DRINKING WATER, SERVE/TABLE WARE, TEA BAGS, TOOLS AND CAR CARE"
112,200000381037,"CERAMIC WARE, FASHION CONC, GIFT CARD & VOUCHERS, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KITCHEN, MEN'S INNERWEAR, MILK FOOD, SYRUPS & CONCENTRATE"
113,200000381231,"ALLNCE & MISC INCOME, BATHROOM AIDS, DISINFECTANT AND MUL, GLASS WARE, KIDS BOYS BWEAR, KITCHEN, KITCHEN TOOLS METAL, LAB, MEN'S INNERWEAR"
114,200000381240,"BROWN SPIRITS, FURNISHING, GLUCOSE & ENERGY, KIDS BOYS BWEAR, MELAMINE WARE, MEN'S BOTTOMWEAR, OTHER RTD, PICKLE/CHUTNEY, SERVE/TABLE WARE"
115,200000381295,"BATH, FROZEN NON VEG, FROZEN VEG, FURNISHING, GIFT CARD & VOUCHERS, OTHER RTD, PICKLE/CHUTNEY, READY TO EAT, SHOE CARE"
116,200000382629,"FASHION CONC, FROZEN, FURNISHING, GLASS WARE, MELAMINE WARE, PACKD DRINKING WATER, PICKLE/CHUTNEY, SHOE CARE, TOOLS AND CAR CARE"
117,200000384195,"COLOUR COSMETICS, COOKWARE METAL, FASHION CONC, FROZEN NON VEG, GLUCOSE & ENERGY, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, MEN'S BOTTOMWEAR"
118,200000386865,"BATH, BED, COLOUR COSMETICS, EGG, KITCHEN APPLIANCES, MELAMINE WARE, PACKD DRINKING WATER, SYRUPS & CONCENTRATE, TOOLS AND CAR CARE"
119,200000386874,"COLOUR COSMETICS, FISH, FURNISHING, GIFT CARD & VOUCHERS, MEN'S INNERWEAR, OTC FOOD, OTHER RTD, PACKD DRINKING WATER, SYRUPS & CONCENTRATE"
120,200000387217,"COLOUR COSMETICS, FROZEN NON VEG, FURNISHING, GLASS WARE, MEN'S INNERWEAR, OTHER RTD, PACKD DRINKING WATER, SERVE/TABLE WARE, SHOE CARE"
121,200000387420,"BATH, DISINFECTANT AND MUL, FISH, GLASS WARE, KITCHEN, MEN'S INNERWEAR, MILK FOOD, OTHER RTD, SHOE CARE"
122,200000387651,"FASHION CONC, FROZEN NON VEG, FURNISHING, GLASS WARE, INDIAN WEAR TOPS, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, KITCHEN, MELAMINE WARE"
123,200000415370,"ALLNCE & MISC INCOME, BATHROOM AIDS, COOKWARE METAL, FASHION CONC, KID'S BOYS TOP WEAR, KIDS BOYS BWEAR, MEN'S TOPWEAR, OTHER RTD, TOOLS AND CAR CARE"
124,200000441153,"FASHION CONC, FISH, FURNISHING, INDIAN WEAR TOPS, KITCHEN, MEN'S INNERWEAR, OTHER RTD, SPORT, SYRUPS & CONCENTRATE"
125,200000441278,"ALLNCE & MISC INCOME, COOKWARE METAL, EGG, FASHION CONC, GIFT CARD & VOUCHERS, KIDS BOYS BWEAR, OTC FOOD, PICKLE/CHUTNEY, SYRUPS & CONCENTRATE"
126,200000441302,"BATH, FASHION CONC, FROZEN NON VEG, FURNISHING, GLASS WARE, KITCHEN, PACKD DRINKING WATER, SERVE/TABLE WARE, SHOE CARE"
127,200000442116,"AIR FRESHENER, COLOUR COSMETICS, DESSERT, FISH, GLASS WARE, KITCHEN APPLIANCES, PICKLE/CHUTNEY, SHOE CARE, TEA BAGS"
128,200000442745,"BATH, COLOUR COSMETICS, EGG, FASHION CONC, KITCHEN, MEN'S BOTTOMWEAR, MEN'S INNERWEAR, OTHER RTD, SHOE CARE"
129,200000442967,"BATHROOM AIDS, FROZEN NON VEG, FROZEN VEG, KITCHEN APPLIANCES, MELAMINE WARE, MEN'S BOTTOMWEAR, MEN'S TOPWEAR, SERVE/TABLE WARE, TOOLS AND CAR CARE"
130,200000443090,"BATH, CERAMIC WARE, FROZEN VEG, MEN'S INNERWEAR, MILK FOOD, PACKD DRINKING WATER, READY TO EAT, SERVE/TABLE WARE, SYRUPS & CONCENTRATE"
131,200000443461,"BATHROOM AIDS, EGG, FASHION CONC, KITCHEN, KITCHEN APPLIANCES, MEN'S INNERWEAR, OTHER RTD, SHOE CARE, SYRUPS & CONCENTRATE"
132,200000443984,"ALLNCE & MISC INCOME, FROZEN NON VEG, FURNISHING, GIFT CARD & VOUCHERS, GLASS WARE, LAB, MEN'S INNERWEAR, OTHER RTD, SHOE CARE"
